outdoor_img_8.raw,"['dark', 0.1680450439453125, True]"
outdoor_img_9.raw,"['dark', 0.02503800392150879, True]"
outdoor_img_6.raw,"['dark', 0.11410713195800781, True]"
outdoor_img_7.raw,"['dark', 0.037587881088256836, True]"
outdoor_img_4.raw,"['dark', 0.024993181228637695, True]"
outdoor_img_5.raw,"['dark', 0.0374760627746582, False]"
outdoor_img_2.raw,"['dark', 0.03760719299316406, True]"
outdoor_img_3.raw,"['dark', 0.1680290699005127, True]"
indoor_patio_1.raw,"['light', 0.20717096328735352, True]"
outdoor_img_12.raw,"['dark', 0.042632102966308594, True]"
outdoor_img_10.raw,"['dark', 0.037793874740600586, True]"
outdoor_img_11.raw,"['dark', 0.17056584358215332, True]"
outdoor_patio_2.raw,"['dark', 0.3645918369293213, False]"
outdoor_patio_1.raw,"['light', 0.131011962890625, True]"
outdoor_img_1.raw,"['dark', 0.32505202293395996, True]"
outdoor_patio_3.raw,"['dark', 0.24723196029663086, False]"
outdoor_patio_4.raw,"['dark', 0.03858804702758789, True]"
outdoor_img_13.raw,"['light', 0.12643098831176758, True]"
outdoor_img_14.raw,"['light', 0.07665705680847168, True]"
outdoor_img_15.raw,"['light', 0.1224820613861084, True]"
